gene	Apical progenitors	Astrocytes	CThPN	Cajal Retzius cells	Cycling glial cells	DL CPN	DL_CPN_1	DL_CPN_2	Doublet	Endothelial cells	Ependymocytes	Immature neurons	Intermediate progenitors	Interneurons	Layer 4	Layer 6b	Low quality cells	Microglia	Migrating neurons	NP	Oligodendrocytes	Pericytes	Red blood cells	SCPN	UL CPN	VLMC
Pald1	0.0	0.0	0.0		0.0	0.0		0.0		1.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0		0.0	
Sec14l1	0.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	0.0		1.0	1.0				1.0				1.0	1.0	
Pxylp1																		0.0				0.0				
Lix1l									1.0		1.0											1.0	0.0			
Palld	1.0	1.0	0.0			0.0							1.0		0.0	0.0				0.0			0.0	0.0	0.0	
Pde2a	0.0	0.0	1.0				1.0	1.0			0.0	1.0	0.0		1.0	1.0			0.0	1.0			0.0			0.0
Lrrc28																										
3100002H09Rik	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0
Ryk									1.0																	
Ormdl2								0.0																		
Nbea	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0			1.0	1.0			0.0	1.0	1.0	
Orc1		0.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0
Cd1d1							0.0	0.0															0.0			
Frem2	0.0		0.0	0.0		0.0		0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
Pisd							1.0																			
Cox6a2	0.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amer2	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0		0.0	1.0	1.0	0.0
Usp50	1.0		1.0			1.0	1.0		1.0				1.0		1.0	1.0			1.0	1.0				1.0	1.0	
Dcbld2	1.0					0.0						0.0	0.0				0.0	0.0	0.0						0.0	
Herc1			1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0			1.0	1.0				1.0	1.0	
Ermn		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Ctnnd1											1.0												0.0			
Iffo2	0.0	0.0			0.0						0.0	0.0	0.0				0.0		0.0	0.0			0.0			
Zfp184																							0.0			
Prdx4	1.0	1.0			1.0		1.0	1.0	1.0	1.0	1.0		1.0			1.0		1.0	0.0		1.0	1.0				1.0
Zfp760																		0.0								
Mief2																							0.0			
Dnajc18																							0.0			
Hcn2	0.0	0.0	0.0		0.0	0.0						0.0	0.0	0.0			0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0
Slc4a2																	0.0									
Rtn2	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Wdr47	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0			1.0	1.0			0.0	1.0	1.0	
Snx14																	0.0									
Dhrs13							1.0	1.0								1.0										
Leng9																	0.0									
Hexim1																										
Efr3b							1.0				0.0												0.0			0.0
Ptprj	0.0		0.0							0.0		0.0	0.0		1.0		0.0		0.0			0.0				0.0
Rab40c							1.0	1.0								1.0							0.0			
Sirt2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	
Top3a		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	
Tmem94																							0.0			
Msl3																										
Gm7467	0.0	0.0	0.0			0.0						0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Gsx2	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Sirt4																							0.0			
Hs3st1	0.0								1.0		1.0		1.0						1.0	0.0			0.0			
Lrtm2	0.0		0.0	0.0		0.0			0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Ric8	0.0		1.0			1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0				1.0				1.0	1.0	
Epb41l4a	0.0		0.0			0.0	0.0					0.0	0.0		0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Bok		0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	0.0	1.0	1.0	1.0				1.0		1.0		1.0	1.0	
Smad4																							0.0			
Adar																							0.0			
Lmln		0.0	0.0			0.0						0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rai2	0.0	0.0	1.0							0.0	0.0	1.0						0.0	1.0				0.0			0.0
Pak3		0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0				1.0				1.0	1.0	
B4galt4																										
Arf6	1.0		0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0					1.0		1.0	0.0	0.0		1.0		0.0	0.0	
Uchl5	1.0				1.0		1.0	1.0	1.0			1.0	1.0		1.0	1.0		1.0								
Pou3f3	1.0	1.0	0.0		1.0	1.0	1.0		1.0		1.0		1.0		1.0				1.0	1.0	1.0		0.0	1.0	1.0	
Slc7a2	0.0	1.0	0.0	0.0		0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
Wnt8b	1.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps13b																	0.0									
Celrr	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ptbp3																		1.0				1.0				
Rorc		0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm8281	0.0	0.0	1.0		0.0	1.0				0.0	0.0		0.0		1.0		0.0	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0
Fam109a																							0.0			
Trappc2l		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	
Atr																										
Cyfip2	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0			0.0	1.0	1.0	
Grk6									1.0																	
Zmat1																	0.0	0.0					0.0			
Zc3hav1l																							0.0			
Crat											1.0															
Rbl1	1.0		0.0			0.0	0.0	0.0				0.0			0.0	0.0	0.0		0.0	0.0				0.0	0.0	
Pfkm	0.0	1.0	1.0			1.0	1.0	1.0				1.0	0.0		1.0	1.0				1.0				1.0	1.0	
Chchd6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0		1.0	1.0	
Ccdc120																							0.0			
Dync2li1											1.0												0.0			
4430402I18Rik	0.0	0.0	1.0			1.0						1.0			1.0					1.0	1.0		0.0	1.0	1.0	0.0
A930012L18Rik	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Daam2	0.0	1.0	0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
Stxbp2					0.0																0.0					
Ptdss1							1.0									1.0										
Lrrtm4	0.0	0.0	1.0			0.0				0.0	0.0		0.0		0.0			0.0		0.0		0.0	0.0	1.0	0.0	0.0
Mllt10	1.0				1.0		1.0	1.0	1.0		1.0		1.0						1.0	0.0		1.0				
Ddx39	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0		1.0				1.0		1.0		1.0
Hs2st1	1.0	0.0	0.0			0.0			1.0			0.0	0.0		0.0				0.0					0.0	0.0	
Sept10	1.0	1.0	0.0			0.0	0.0	0.0			1.0	0.0	1.0		0.0				0.0	0.0			0.0	0.0	0.0	
Rnf115	1.0	1.0			1.0	1.0	1.0	1.0	1.0		1.0		1.0		1.0	1.0			1.0		1.0	1.0				1.0
Spata6			0.0			0.0		0.0			1.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0				0.0	0.0	
Pcyt2		1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	0.0		1.0	1.0				1.0	1.0			1.0	1.0	
Csf1	0.0		0.0	0.0		0.0		0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	
Kidins220	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0			0.0	1.0	1.0	
Trp53inp2	0.0					1.0	1.0	1.0				1.0	1.0		1.0	1.0			1.0	1.0			0.0	1.0	1.0	
Shd	0.0					1.0	1.0	1.0							1.0	1.0			1.0	1.0			0.0		1.0	
Dnajc5		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0	
Chst7	0.0		0.0			0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0
Brox	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0			1.0	1.0				1.0	1.0	
Itga2b	0.0	0.0	0.0		0.0						0.0	0.0	0.0				0.0		0.0	0.0	0.0	0.0		0.0		
Tm7sf2											0.0												0.0			
Coro1a	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0		0.0	1.0	0.0		1.0	1.0		1.0		1.0				1.0	1.0	
Pdcd4	1.0	1.0	1.0						1.0		1.0		1.0						1.0					1.0		
Gstk1		1.0	0.0			0.0					0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0		1.0		0.0	0.0	
Lrrc3b	0.0	0.0	0.0		0.0					0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0
Msrb1	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0						1.0		1.0		
Hectd3																										
Gsg1l	0.0	1.0	1.0			0.0	0.0	0.0		0.0			0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0
Tmem55a	1.0	1.0	1.0		1.0		1.0	1.0	1.0							1.0			0.0					1.0		
Alg1																										
Blvra											0.0															
Rdh11																							0.0			
Xpr1	0.0	0.0	1.0			1.0	1.0	1.0	1.0			1.0	0.0			1.0				1.0	1.0			1.0	0.0	
Tmem150c	0.0	0.0				1.0	1.0				0.0	1.0	0.0		1.0	1.0		0.0		1.0			0.0	1.0	1.0	0.0
Adcy2	0.0	0.0			0.0					0.0	0.0	0.0	0.0				0.0	0.0	0.0			0.0	0.0	0.0		0.0
Sorbs3			0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	
Bub1	1.0		0.0	0.0		0.0	0.0	0.0			0.0	0.0	1.0		0.0	0.0			0.0	0.0				0.0	0.0	
Mcc		1.0	0.0			0.0						0.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0	0.0	0.0	0.0	
Acvr2b	1.0	0.0	0.0	1.0		0.0						1.0	1.0		0.0				1.0	0.0					0.0	
Rnf8							1.0	1.0	1.0							1.0										
Figf	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
Sfxn5		1.0	0.0			0.0					1.0	0.0							0.0	0.0			0.0	0.0	0.0	0.0
Dlgap2	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Noct							1.0	1.0								1.0										
Rasgef1b	0.0					0.0							1.0		0.0				1.0	0.0			0.0		0.0	0.0
Lipe																							0.0			0.0
Akr1b8		0.0	0.0		0.0	0.0						0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	
Cfap36		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0	1.0				1.0	1.0	1.0		1.0	1.0	
2500002B13Rik		0.0	0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sptbn4	0.0	0.0				1.0				0.0	0.0		0.0		1.0		0.0	0.0	0.0				0.0	1.0	1.0	0.0
Cbr3	0.0	1.0	0.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Postn	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	
Chac2								1.0																		
Tmem8b																		0.0					0.0			
Slc7a14	0.0	0.0			0.0					0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0			0.0
Slc6a6	0.0	0.0	1.0			1.0	1.0	1.0	1.0	1.0		1.0			1.0	1.0				1.0				1.0	1.0	
Hunk							0.0									0.0							0.0			
Fbxo44							1.0																0.0			0.0
Wdtc1																										
Plcxd3	0.0	0.0				1.0	1.0	1.0		0.0	0.0		0.0				0.0	0.0		0.0			0.0			0.0
Slc35b2					1.0		1.0	1.0										1.0			1.0					
Spats2																							0.0			
Cog1											0.0															
Ctsd	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		0.0			1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
Mpv17l2				1.0			1.0	1.0	1.0																	
Cldn9		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cbarp	0.0		1.0	1.0		1.0	1.0	1.0	1.0				0.0		1.0	1.0				1.0			0.0	1.0	1.0	
Ehbp1	1.0	1.0	0.0		1.0	0.0			1.0		1.0	0.0	1.0		0.0	1.0			0.0	0.0				0.0	0.0	
Nup98											0.0			0.0			0.0	0.0					0.0			
St3gal6		0.0	0.0	0.0	0.0	0.0		0.0		1.0		0.0	0.0	0.0	0.0		0.0	1.0	0.0	0.0				0.0	0.0	
Dlx2	0.0	1.0						0.0				0.0	0.0	1.0					0.0			0.0	0.0			0.0
Tenm4		0.0		1.0				1.0	1.0			1.0			0.0				1.0				0.0	1.0		
H19			0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	0.0	0.0	1.0
Ppp3r1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0				1.0	1.0			1.0	1.0	
Dusp2	0.0	0.0	0.0	0.0	0.0						0.0		0.0		1.0		0.0		0.0		0.0		0.0			0.0
Zfp410									1.0																	
Tmem56	0.0	1.0	0.0			0.0				0.0		0.0	0.0				0.0	0.0	0.0			0.0		0.0		0.0
Pcnt								0.0																		
Sstr1	0.0	0.0	0.0							0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0	0.0			0.0	0.0	1.0	1.0	0.0
Golga2																										
Tmem164																										
Topbp1	1.0	0.0	0.0		1.0	0.0						0.0			0.0				0.0	0.0				0.0	0.0	
Mospd2																							0.0			
Rims3	0.0	0.0	0.0									0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0			0.0
Zfp524																										
Car2	0.0	1.0	0.0	0.0		0.0		0.0		1.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0		1.0	1.0	0.0	0.0	
Plekhf1		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	
Cmip	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0			1.0	1.0				1.0	1.0	
Vstm5	0.0	0.0	0.0		0.0					0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0
Crhr1	0.0	0.0		0.0	0.0	1.0		1.0		0.0	0.0	0.0	0.0	0.0	1.0		0.0		0.0		0.0	0.0	0.0	0.0		0.0
2210408I21Rik																	0.0						0.0			0.0
Med21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0		1.0	1.0				1.0	1.0	1.0		1.0	1.0	
B4galt6	0.0	0.0	1.0			1.0	1.0	1.0					0.0		1.0	1.0			0.0	1.0			0.0	1.0	1.0	
Gnptg							1.0	1.0								1.0										
N4bp1																										
Fuom	1.0	1.0	0.0			0.0						0.0			0.0				0.0				0.0	0.0	0.0	
Siah1a	1.0		1.0	1.0		1.0	1.0		1.0			1.0	1.0		1.0				1.0					1.0	1.0	
Btbd17		1.0	0.0			0.0	0.0						1.0		0.0					0.0			0.0	0.0	0.0	0.0
Sidt2																										
Tmem41a								1.0															0.0			
Gprin1	0.0	0.0	1.0			1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0			0.0	1.0	1.0	0.0
Dlgap3	0.0	0.0				1.0					0.0		0.0		1.0		0.0	0.0	0.0			0.0	0.0	1.0	1.0	0.0
Cdkn1c	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0		1.0				1.0	1.0		1.0		1.0	1.0	1.0
Slc25a22							1.0	1.0								1.0							0.0			
Fat3		0.0		1.0									0.0		1.0								0.0	1.0		0.0
Gsn	0.0	1.0	0.0									0.0	0.0		1.0		0.0		0.0		1.0		0.0			
Sclt1																										
Hras	1.0		1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0	1.0		1.0		1.0	1.0	
Msi1	1.0	1.0			1.0	1.0			1.0		1.0		1.0		1.0				1.0					1.0	1.0	
Rasgrf1	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0
Slco5a1											0.0											0.0	0.0			0.0
Rnf123																										
Nln																							0.0			
Gm29260	1.0	1.0	0.0	0.0		0.0		0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0		0.0
Tctex1d2	1.0		1.0			1.0	1.0	1.0	1.0		1.0				1.0	1.0			0.0	1.0				1.0	1.0	
Gdpd1	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Efna5							1.0	1.0										0.0					0.0			
Pten		0.0	1.0			1.0	1.0	1.0	1.0						1.0	1.0				1.0		1.0		1.0	1.0	
Jarid2																										
Ikbip																	0.0						0.0			
Arhgef2	0.0		1.0					1.0	1.0	1.0		1.0	1.0						1.0				0.0	1.0		
Tmem203																										
Klc1		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	
Klhl13																					1.0		0.0			
Tnpo2																										
Cadm2	0.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0		0.0		1.0	1.0				1.0	1.0		0.0	1.0	1.0	0.0
Cers2	1.0	1.0	0.0							1.0		0.0			0.0					0.0	1.0	1.0				
Ccdc138	1.0													0.0			0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0
L3mbtl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5031439G07Rik							1.0									1.0							0.0			
Tspyl3	0.0		1.0			1.0						1.0	0.0		1.0					1.0			0.0	1.0	1.0	
Pex13	1.0	1.0	1.0		1.0	1.0			1.0		1.0	1.0	1.0			1.0			1.0	1.0				1.0		
Mpped1	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0	1.0		1.0	1.0				1.0	1.0	0.0
Flrt1	0.0	0.0	1.0		0.0					0.0		1.0	1.0					0.0	1.0				0.0	1.0	1.0	
Kcnd2	0.0	0.0								0.0	0.0	0.0	0.0		1.0		0.0		0.0		1.0		0.0			0.0
Nup37	1.0		0.0		1.0	0.0						0.0	1.0		0.0				0.0	0.0				0.0	0.0	
